project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
4511 VINSON DR BLDG 3,Lot 3 - New construction two-family residential duplex 2-story 3 bedroom (both units) 2.5 bath (both units) with covered front porch (both units) and covered rear patio (both units).,2023-09-18,2,2,4511 VINSON DR BLDG 3,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12761425,4511 VINSON DRIVE BLDG 3,NA,Austin,Texas,United States,2
4511 VINSON DR BLDG 4,Lot 4 - New construction two-family residential duplex 2-story 3 bedroom (both units) 2.5 bath (both units) with attached 1-car garage (both units) covered front porch (both units) and covered rear patio (both units).,2023-09-18,2,2,4511 VINSON DR BLDG 4,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12761477,4511 VINSON DRIVE BLDG 4,NA,Austin,Texas,United States,2
1917 W 37TH STREET Bldg 2,Addition/remodel of existing garage expansion of garage door & addition of second floor ADU with exterior stair. 1 bathroom.,2023-10-03,1,2,1917 W 37TH ST BLDG 2,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13213779,1917 WEST 37TH STREET BLDG 2,NA,Austin,Texas,United States,2
4409 ISLAND CV,New Construction of a 2-Story Single Family Res [6bed 8bath] with attached 3 Car Garage. No driveway/sidewalk permit to private road.  The site plan (2022-162351 SP SP-2022-0521D) must be approved before construction of boat dock & shoreline improvements,2023-10-01,1,2,4409 ISLAND CV,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13154960,4409 ISLAND CV,NA,Austin,Texas,United States,2
4511 VINSON DR BLDG 5,Lot 5 block A: New construction two family residential duplex 2- story 3/3 bedroom 2.5/2.5 bath with attached 1-car carport (Unit A) attached 1-car garage (Unit B) covered front porch (both units) covered rear patio (Unit A) and uncovered rear porch (Unit B).,2023-09-18,2,2,4511 VINSON DR BLDG 5,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12605313,4511 VINSON DRIVE BLDG 5,NA,Austin,Texas,United States,2
1149 SHADY LN,New construction single family residential 3 story 8 bedroom 8 bath with attached carport covered front porch (2) covered rear patio (2) multiple balconies and uncovered roof top deck.  Extended to Oct 13 so bp could be activated.  PR was approved.,2023-10-12,1,3,1149 SHADY LN,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12946325,1149 SHADY LANE,NA,Austin,Texas,United States,2
1512 LARKWOOD DR BLDG 2,New construction two-family residential secondary apartment 2-story 1 bedroom 1.5 bath with covered front porch.,2023-10-13,1,2,1512 LARKWOOD DR BLDG 2,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13215300,1512 LARKWOOD DRIVE BLDG 2,NA,Austin,Texas,United States,2
4511 VINSON DR BLDG 6,Lot 6 block A: New construction two family residential duplex 2-story 3/3 bedroom 2.5./2.5 bath with attached 1-car garage (both units) covered front porch (both units) covered rear patio (Unit A) and uncovered rear patio (Unit B).,2023-09-18,2,2,4511 VINSON DR BLDG 6,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12605339,4511 VINSON DRIVE BLDG 6,NA,Austin,Texas,United States,2
3307 DOLPHIN DR,"New construction two-family residential 2-story 2 bedroom 1 bath (will change) with attached 1-car garage covered front porch and uncovered 2nd floor balcony. 
Natalya 512-470-5531",2023-10-11,1,2,3307 DOLPHIN DR,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13064061,3307 DOLPHIN DRIVE,NA,Austin,Texas,United States,2
4511 VINSON DR BLDG 7,Lot 7 block A: New construction two family residential duplex 2-story 3/3 bedroom 2.5/2.5 bath with attached 1-car garage (both units) covered front porch (both units) and covered rear patio (both units).,2023-09-18,2,2,4511 VINSON DR BLDG 7,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12605363,4511 VINSON DRIVE BLDG 7,NA,Austin,Texas,United States,2
