project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
10121 CURB STRAP DR,PB: New construction of 1 story SFR,2025-06-27,1,1,10121 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13538737,10121 CURB STRAP DRIVE,NA,Austin,Texas,United States,1,30.325575,-97.595896,1,rooftop,10121 Curb Strap Dr,NA,"Austin, TX 78724",NA,10121,Curb Strap Dr,NA,NA,Austin,TX,NA,Travis County,78724,US,NA,City of Austin (Public Domain),gcod_usnk6fgb9atrmvpg2qf2t7xquttse,building_centroid
900 S 2ND ST BLDG 2,SUBCHPTR F 3 story SFR detached Condo,2025-02-25,1,3,900 S 2ND ST BLDG 2,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12870739,900 SOUTH 2ND STREET BLDG 2,NA,Austin,Texas,United States,1,30.255069,-97.753469,1,rooftop,900 S 2nd St,Unit 2,"Austin, TX 78704",NA,900,S 2nd St,Unit,2,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usncwzmww2tzfld8v2t48raffmrk2-ghkyz8pcnzgfh,building_centroid
4000 CLAWSON RD,New Townhomes Building 3 Unit A-D,2024-03-18,1,3,4000 CLAWSON RD,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13297810,4000 CLAWSON ROAD,NA,Austin,Texas,United States,1,30.232061,-97.782295,1,rooftop,4000 Clawson Rd,NA,"Austin, TX 78704",NA,4000,Clawson Rd,NA,NA,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usntwekwgys27u88jgbuca29qyvg5,building_centroid
1600 WHELESS LN,New 3 bedroom 21/2 bath 2 story single family house with attached garage. MAIN STRUCTURE,2020-03-04,1,2,1600 WHELESS LN,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12325297,1600 WHELESS LANE,NA,Austin,Texas,United States,1,30.319654,-97.691733,1,rooftop,1600 Wheless Ln,NA,"Austin, TX 78723",NA,1600,Wheless Ln,NA,NA,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usn545vzcylks3qc7e83tfb8y96bg,building_centroid
10136 MILLA CIR,New 2 story Contruction with att garage,2012-05-09,1,2,10136 MILLA CIR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10764018,10136 MILLA CIR,NA,Austin,Texas,United States,1,30.163048,-97.79815,1,rooftop,10136 Milla Cir,NA,"Austin, TX 78748",NA,10136,Milla Cir,NA,NA,Austin,TX,NA,Travis County,78748,US,NA,City of Austin (Public Domain),gcod_usn4em6dm6vf3grh37n5lu467swxf,building_centroid
1903 E 17TH ST,New garage apartment.,2012-05-02,2,2,1903 E 17TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10758293,1903 EAST 17TH STREET,NA,Austin,Texas,United States,1,30.277694,-97.720446,1,rooftop,1903 E 17th St,NA,"Austin, TX 78702",NA,1903,E 17th St,NA,NA,Austin,TX,NA,Travis County,78702,US,NA,City of Austin (Public Domain),gcod_usnp4yp3rjccczsesccwqfv8ht5th,building_centroid
1209 JUSTIN LN,withdrawn refer to 2008-015626  3-20-08sbenavidez...New 2-story duplex (two-family) residence detached garage covered porch and patio uncovered balcony.,2007-04-19,2,2,1209 JUSTIN LN,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10019322,1209 JUSTIN LANE,NA,Austin,Texas,United States,1,30.339452,-97.724722,1,rooftop,1209 Justin Ln,NA,"Austin, TX 78757",NA,1209,Justin Ln,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnenrzyl674n8xhqwfulmbpm4fk9,building_centroid
12540 Campana Dr,New Sf Residence W/ Attached Garage  CovD Porch  CovD Patio (Smart Housing),2005-03-03,1,1,12540 CAMPANA DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=717477,12540 CAMPANA DRIVE,NA,Austin,Texas,United States,1,30.168923,-97.626434,1,rooftop,12540 Campana Dr,NA,"Del Valle, TX 78617",NA,12540,Campana Dr,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usnkrk9f84dxakk6pcbpy89ha7w5e,building_centroid
15996 N I 35 Svc Rd Sb Bldg 1,Modular** Model** Home On Existing Mobile Home Sales Lot,2005-08-11,NA,NA,15996 N IH 35 SVRD SB BLDG 1,78728,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=762521,15996 NORTH INTERSTATE 35 SVRD SB BLDG 1,NA,Austin,Texas,United States,1,30.458178,-97.66768,1,rooftop,15996 N I-35 Svrd Sb,Bldg 1,"Austin, TX 78728",NA,15996,N I-35 Svrd Sb,Bldg,1,Austin,TX,NA,Travis County,78728,US,NA,Statewide (CC 0 Texas Natural Resources Information System),gcod_usndftvw26ybz7ccnlckhjg3xwzbc-bjw7ktbm7t729,NA
2108 Tillery St,New Two Family Residential (Ldc 25-2774),2005-06-28,NA,NA,2108 TILLERY ST,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=721306,2108 TILLERY STREET,NA,Austin,Texas,United States,1,30.285399,-97.70243,1,rooftop,2108 Tillery St,NA,"Austin, TX 78723",NA,2108,Tillery St,NA,NA,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usn46xxtfrtmaug7fjugbkdlsbepc,building_centroid
